animal,pair,window_bins,window_ms,n_dims,n_pos,n_neg,mixed,frac_pos
68,CA1-CA3,22,220,5,1,4,1,0.2
68,CA1-CA3,23,230,5,1,4,1,0.2
68,CA1-CA3,24,240,5,1,4,1,0.2
68,CA1-CA3,25,250,5,0,5,0,0.0
68,CA1-DG,1,10,5,4,1,1,0.8
68,CA1-DG,2,20,5,2,3,1,0.4
68,CA1-DG,3,30,5,2,3,1,0.4
68,CA1-DG,4,40,5,0,5,0,0.0
68,CA1-DG,5,50,5,0,5,0,0.0
68,CA1-DG,6,60,5,0,5,0,0.0
68,CA1-DG,7,70,5,0,5,0,0.0
68,CA1-DG,8,80,5,0,5,0,0.0
68,CA1-DG,9,90,5,0,5,0,0.0
68,CA1-DG,10,100,5,0,5,0,0.0
68,CA1-DG,11,110,5,0,5,0,0.0
68,CA1-DG,12,120,5,0,5,0,0.0
68,CA1-DG,13,130,5,0,5,0,0.0
68,CA1-DG,14,140,5,0,5,0,0.0
68,CA1-DG,15,150,5,0,5,0,0.0
68,CA1-DG,16,160,5,0,5,0,0.0
68,CA1-DG,17,170,5,0,5,0,0.0
68,CA1-DG,18,180,5,0,5,0,0.0
68,CA1-DG,19,190,5,0,5,0,0.0
68,CA1-DG,20,200,5,0,5,0,0.0
68,CA1-DG,21,210,5,0,5,0,0.0
68,CA1-DG,22,220,5,0,5,0,0.0
68,CA1-DG,23,230,5,0,5,0,0.0
68,CA1-DG,24,240,5,0,5,0,0.0
68,CA1-DG,25,250,5,0,5,0,0.0
68,CA1-RSC,1,10,5,3,2,1,0.6
68,CA1-RSC,2,20,5,2,3,1,0.4
68,CA1-RSC,3,30,5,3,2,1,0.6
68,CA1-RSC,4,40,5,3,2,1,0.6
68,CA1-RSC,5,50,5,3,2,1,0.6
68,CA1-RSC,6,60,5,3,2,1,0.6
68,CA1-RSC,7,70,5,3,2,1,0.6
68,CA1-RSC,8,80,5,3,2,1,0.6
68,CA1-RSC,9,90,5,4,1,1,0.8
68,CA1-RSC,10,100,5,4,1,1,0.8
68,CA1-RSC,11,110,5,4,1,1,0.8
68,CA1-RSC,12,120,5,4,1,1,0.8
68,CA1-RSC,13,130,5,3,2,1,0.6
68,CA1-RSC,14,140,5,3,2,1,0.6
68,CA1-RSC,15,150,5,4,1,1,0.8
68,CA1-RSC,16,160,5,5,0,0,1.0
68,CA1-RSC,17,170,5,5,0,0,1.0
68,CA1-RSC,18,180,5,5,0,0,1.0
68,CA1-RSC,19,190,5,4,1,1,0.8
68,CA1-RSC,20,200,5,4,1,1,0.8
68,CA1-RSC,21,210,5,4,1,1,0.8
68,CA1-RSC,22,220,5,4,1,1,0.8
68,CA1-RSC,23,230,5,4,1,1,0.8
68,CA1-RSC,24,240,5,3,2,1,0.6
68,CA1-RSC,25,250,5,2,3,1,0.4
68,CA3-DG,1,10,4,0,4,0,0.0
68,CA3-DG,2,20,5,3,2,1,0.6
68,CA3-DG,3,30,5,3,2,1,0.6
68,CA3-DG,4,40,5,3,2,1,0.6
68,CA3-DG,5,50,5,3,2,1,0.6
68,CA3-DG,6,60,5,3,2,1,0.6
68,CA3-DG,7,70,5,3,2,1,0.6
68,CA3-DG,8,80,5,3,2,1,0.6
68,CA3-DG,9,90,5,3,2,1,0.6
68,CA3-DG,10,100,5,4,1,1,0.8
68,CA3-DG,11,110,5,4,1,1,0.8
68,CA3-DG,12,120,5,4,1,1,0.8
68,CA3-DG,13,130,5,4,1,1,0.8
68,CA3-DG,14,140,5,4,1,1,0.8
68,CA3-DG,15,150,5,5,0,0,1.0
68,CA3-DG,16,160,5,5,0,0,1.0
68,CA3-DG,17,170,5,5,0,0,1.0
68,CA3-DG,18,180,5,4,1,1,0.8
68,CA3-DG,19,190,5,4,1,1,0.8
68,CA3-DG,20,200,5,4,1,1,0.8
68,CA3-DG,21,210,5,4,1,1,0.8
